N,Gamma,lambda_N,lambda_N_over_Gamma,first_retained_mode,smallest_retained_eigenvalue,retained_condition_number,maximum_hard_cutoff_fidelity,projective_angle_rad,normalized_output_exists,input_active_condition_number
63,3000.0,16374.132377232772,5.458044125744258,1,9.86762276722776,1659.3796462927587,1.0,0.0,True,118.11226010266368
255,3000.0,262134.13051946033,87.37804350648678,3,88.81640723585421,2951.4156075167116,0.2858864954784972,1.006663101377244,True,120.81788544189149
511,3000.0,1048566.1304265645,349.5220434755215,6,355.26562894341686,2951.4989489556547,0.028591228865019462,1.4008906235595875,True,120.95445087247892
767,3000.0,2359286.130409362,786.4287101364539,9,799.3476651226879,2951.5143827276293,0.028580226878053273,1.4009236349840626,True,120.97975425659027
943,3000.0,3564534.130404708,1188.178043468236,11,1194.0887725287823,2985.150026036936,0.0285772516573232,1.4009325631830396,True,120.98659947024132
945,3000.0,3579654.13040467,1193.2180434682232,11,1194.0893357977236,2997.8109870759754,0.028577227058735076,1.4009326370016577,True,120.98665606971791
946,3000.0,3587226.13040465,1195.7420434682165,12,1421.0353527480129,2524.375008311816,0.0,,False,120.9866842350828
959,3000.0,3686390.1304044067,1228.7967101348022,12,1421.0404010994864,2594.1487149500995,0.0,,False,120.98704241330118
1023,3000.0,4194294.13040334,1398.09804346778,12,1421.0625157736674,2951.5197845605303,0.0,,False,120.98861143723639
